cited_person_age,citation_time,charge_description,street,month,day_of_week,week_of_year,hour_of_day,place_id,age_breaks
59.0,954,Speed Greater Than R&P or Posted,N 100th St,10,1,43,9,N 100th St - 1xxx,"(50.0, 97.0]"
29.0,850,Expired/No Arizona Registration,E Camelback Rd,10,0,43,8,E Camelback Rd - 7xxx,"(24.0, 29.0]"
48.0,1441,Speed Greater Than R&P or Posted,N 64th St,10,0,43,14,N 64th St - 2xxx,"(37.0, 50.0]"
22.0,1025,Failure to Control Speed to Avoid A Collision,E Chaparral Rd,10,1,44,10,E Chaparral Rd - 7xxx,"(17.999, 24.0]"
20.0,914,Failure to Control Speed to Avoid A Collision,E McDowell Rd,10,1,44,9,E McDowell Rd - 7xxx,"(17.999, 24.0]"
42.0,900,Speed Greater Than R&P or Posted,N Scottsdale Rd,10,6,42,9,N Scottsdale Rd - 1xxx,"(37.0, 50.0]"
76.0,1117,Failure to Control Speed to Avoid A Collision,E Shea Bl,10,1,44,11,E Shea Bl - 8xxx,"(50.0, 97.0]"
24.0,1323,Speed Greater Than R&P or Posted,N Hayden Rd,10,6,43,13,N Hayden Rd - 4xxx,"(17.999, 24.0]"
36.0,916,Speed Greater Than R&P or Posted,N Goldwater Bl,10,3,43,9,N Goldwater Bl - 4xxx,"(29.0, 37.0]"
63.0,919,Speed Greater Than R&P or Posted,N Hayden Rd,10,3,43,9,N Hayden Rd - 8xxx,"(50.0, 97.0]"
38.0,906,Speed Greater Than R&P or Posted,N Hayden Rd,10,3,43,9,N Hayden Rd - 8xxx,"(37.0, 50.0]"
29.0,1508,Expired/No Arizona Registration,N Scottsdale Rd,10,1,44,15,N Scottsdale Rd - 5xxx,"(24.0, 29.0]"
